x-axis,1,3,4,F1
second,Volt,Volt,Volt,Volt
-2.700000E-03,-97.707348E-03,-2.042635E-03,+1.268515E-03,-3.308411E-03
-2.698000E-03,-97.707348E-03,-2.009658E-03,+1.252026E-03,-3.258972E-03
-2.696000E-03,-98.021418E-03,-1.979036E-03,+1.304633E-03,-3.280945E-03
-2.694000E-03,-97.393277E-03,-2.038709E-03,+1.325047E-03,-3.360901E-03
-2.692000E-03,-98.335488E-03,-2.028502E-03,+1.226901E-03,-3.252258E-03
-2.690000E-03,-97.393277E-03,-2.074828E-03,+1.284218E-03,-3.356628E-03
-2.688000E-03,-98.021418E-03,-2.056768E-03,+1.280292E-03,-3.334045E-03
-2.686000E-03,-98.021418E-03,-2.086605E-03,+1.314840E-03,-3.398132E-03
-2.684000E-03,-97.707348E-03,-2.019080E-03,+1.258308E-03,-3.274231E-03
-2.682000E-03,-97.393277E-03,-2.176900E-03,+1.188427E-03,-3.362122E-03
-2.680000E-03,-98.021418E-03,-2.113301E-03,+1.300707E-03,-3.410950E-03
-2.678000E-03,-98.335488E-03,-2.082679E-03,+1.290500E-03,-3.370666E-03
-2.676000E-03,-98.021418E-03,-2.160412E-03,+1.354884E-03,-3.512268E-03
-2.674000E-03,-98.649559E-03,-2.080324E-03,+1.310914E-03,-3.388367E-03
-2.672000E-03,-98.335488E-03,-2.056768E-03,+1.328188E-03,-3.382263E-03
-2.670000E-03,-98.021418E-03,-2.112516E-03,+1.312485E-03,-3.421936E-03
-2.668000E-03,-98.649559E-03,-2.098383E-03,+1.347818E-03,-3.443298E-03
-2.666000E-03,-98.021418E-03,-2.082679E-03,+1.278722E-03,-3.359070E-03
-2.664000E-03,-98.335488E-03,-2.102309E-03,+1.307774E-03,-3.406677E-03
-2.662000E-03,-98.649559E-03,-1.997880E-03,+1.259093E-03,-3.254089E-03
-2.660000E-03,-98.021418E-03,-2.040280E-03,+1.352529E-03,-3.390198E-03
-2.658000E-03,-99.277699E-03,-1.982962E-03,+1.248100E-03,-3.228455E-03
-2.656000E-03,-98.649559E-03,-2.070116E-03,+1.336040E-03,-3.403625E-03
-2.654000E-03,-98.649559E-03,-2.052057E-03,+1.322692E-03,-3.371887E-03
-2.652000E-03,-98.335488E-03,-2.030072E-03,+1.255167E-03,-3.282165E-03
-2.650000E-03,-97.393277E-03,-2.013584E-03,+1.296781E-03,-3.307190E-03
-2.648000E-03,-98.021418E-03,-2.103094E-03,+1.234752E-03,-3.335266E-03
-2.646000E-03,-97.707348E-03,-2.048132E-03,+1.200990E-03,-3.246155E-03
-2.644000E-03,-97.707348E-03,-2.023006E-03,+1.317196E-03,-3.337097E-03
-2.642000E-03,-98.335488E-03,-2.015939E-03,+1.217478E-03,-3.230896E-03
-2.640000E-03,-97.079207E-03,-2.008088E-03,+1.263019E-03,-3.268127E-03
-2.638000E-03,-98.335488E-03,-2.035569E-03,+1.132679E-03,-3.165588E-03
-2.636000E-03,-98.021418E-03,-2.114086E-03,+1.233182E-03,-3.344421E-03
-2.634000E-03,-98.335488E-03,-2.197315E-03,+1.324262E-03,-3.518982E-03
-2.632000E-03,-98.335488E-03,-2.006517E-03,+1.354884E-03,-3.358459E-03
-2.630000E-03,-97.707348E-03,-2.111731E-03,+1.232397E-03,-3.340759E-03
-2.628000E-03,-98.021418E-03,-2.069331E-03,+1.302277E-03,-3.368835E-03
-2.626000E-03,-98.335488E-03,-2.066976E-03,+1.236323E-03,-3.300476E-03
-2.624000E-03,-98.335488E-03,-2.093672E-03,+1.343892E-03,-3.434143E-03
-2.622000E-03,-97.393277E-03,-2.026932E-03,+1.217478E-03,-3.241272E-03
-2.620000E-03,-96.451066E-03,-2.069331E-03,+1.246530E-03,-3.312683E-03
-2.618000E-03,-97.393277E-03,-2.055983E-03,+1.260663E-03,-3.313293E-03
-2.616000E-03,-98.335488E-03,-2.135286E-03,+1.263019E-03,-3.396301E-03
-2.614000E-03,-97.707348E-03,-2.093672E-03,+1.233182E-03,-3.323669E-03
-2.612000E-03,-97.079207E-03,-2.099168E-03,+1.333684E-03,-3.429871E-03
-2.610000E-03,-97.707348E-03,-2.163552E-03,+1.224545E-03,-3.385925E-03
-2.608000E-03,-97.707348E-03,-2.053628E-03,+1.263804E-03,-3.314514E-03
